crop,yield,year,state,county
CORN,"316,315,000",2022,ILLINOIS,BUREAU
CORN,"190,106,000",2022,ILLINOIS,CARROLL
CORN,"282,835,000",2022,ILLINOIS,HENRY
CORN,"122,340,000",2022,ILLINOIS,JO DAVIESS
CORN,"263,448,000",2022,ILLINOIS,LEE
CORN,"147,964,000",2022,ILLINOIS,MERCER
CORN,"258,544,000",2022,ILLINOIS,OGLE
CORN,"25,857,000",2022,ILLINOIS,PUTNAM
CORN,"78,993,000",2022,ILLINOIS,ROCK ISLAND
CORN,"187,918,000",2022,ILLINOIS,STEPHENSON
CORN,"269,372,000",2022,ILLINOIS,WHITESIDE
CORN,"86,493,000",2022,ILLINOIS,WINNEBAGO
CORN,"75,632,000",2022,ILLINOIS,BOONE
CORN,,2022,ILLINOIS,COOK
CORN,"256,371,000",2022,ILLINOIS,DE KALB
CORN,,2022,ILLINOIS,DU PAGE
CORN,"111,353,000",2022,ILLINOIS,GRUNDY
CORN,"87,311,000",2022,ILLINOIS,KANE
CORN,"79,132,000",2022,ILLINOIS,KENDALL
CORN,"7,633,000",2022,ILLINOIS,LAKE
CORN,"363,501,000",2022,ILLINOIS,LA SALLE
CORN,"91,629,000",2022,ILLINOIS,MCHENRY
CORN,"119,757,000",2022,ILLINOIS,WILL
CORN,"157,489,000",2022,ILLINOIS,ADAMS
CORN,"36,869,000",2022,ILLINOIS,BROWN
CORN,"148,804,000",2022,ILLINOIS,FULTON
CORN,"187,356,000",2022,ILLINOIS,HANCOCK
CORN,"109,916,000",2022,ILLINOIS,HENDERSON
CORN,"246,328,000",2022,ILLINOIS,KNOX
CORN,"146,353,000",2022,ILLINOIS,MCDONOUGH
CORN,"62,613,000",2022,ILLINOIS,SCHUYLER
CORN,"169,684,000",2022,ILLINOIS,WARREN
CORN,"104,506,000",2022,ILLINOIS,DE WITT
CORN,"249,932,000",2022,ILLINOIS,LOGAN
CORN,"365,723,000",2022,ILLINOIS,MCLEAN
CORN,"170,558,000",2022,ILLINOIS,MACON
CORN,"122,569,000",2022,ILLINOIS,MARSHALL
CORN,"150,907,000",2022,ILLINOIS,MASON
CORN,"81,334,000",2022,ILLINOIS,MENARD
CORN,"148,417,000",2022,ILLINOIS,PEORIA
CORN,"109,103,000",2022,ILLINOIS,STARK
CORN,"211,525,000",2022,ILLINOIS,TAZEWELL
CORN,"154,238,000",2022,ILLINOIS,WOODFORD
CORN,"335,898,000",2022,ILLINOIS,CHAMPAIGN
CORN,"154,146,000",2022,ILLINOIS,FORD
CORN,"379,181,000",2022,ILLINOIS,IROQUOIS
CORN,"197,509,000",2022,ILLINOIS,KANKAKEE
CORN,"364,370,000",2022,ILLINOIS,LIVINGSTON
CORN,"152,300,000",2022,ILLINOIS,PIATT
CORN,"262,761,000",2022,ILLINOIS,VERMILION
CORN,"62,081,000",2022,ILLINOIS,BOND
CORN,"19,638,000",2022,ILLINOIS,CALHOUN
CORN,"93,320,000",2022,ILLINOIS,CASS
CORN,"222,104,000",2022,ILLINOIS,CHRISTIAN
CORN,"118,656,000",2022,ILLINOIS,GREENE
CORN,"65,397,000",2022,ILLINOIS,JERSEY
CORN,"204,803,000",2022,ILLINOIS,MACOUPIN
CORN,"109,681,000",2022,ILLINOIS,MADISON
CORN,"180,318,000",2022,ILLINOIS,MONTGOMERY
CORN,"141,578,000",2022,ILLINOIS,MORGAN
CORN,"153,010,000",2022,ILLINOIS,PIKE
CORN,"313,354,000",2022,ILLINOIS,SANGAMON
CORN,"48,089,000",2022,ILLINOIS,SCOTT
CORN,"115,716,000",2022,ILLINOIS,CLARK
CORN,"75,537,000",2022,ILLINOIS,CLAY
CORN,"107,139,000",2022,ILLINOIS,COLES
CORN,"98,367,000",2022,ILLINOIS,CRAWFORD
CORN,"65,523,000",2022,ILLINOIS,CUMBERLAND
CORN,"123,790,000",2022,ILLINOIS,DOUGLAS
CORN,"178,341,000",2022,ILLINOIS,EDGAR
CORN,"115,486,000",2022,ILLINOIS,EFFINGHAM
CORN,"114,702,000",2022,ILLINOIS,FAYETTE
CORN,"97,643,000",2022,ILLINOIS,JASPER
CORN,"99,694,000",2022,ILLINOIS,LAWRENCE
CORN,"82,996,000",2022,ILLINOIS,MARION
CORN,"116,040,000",2022,ILLINOIS,MOULTRIE
CORN,"83,369,000",2022,ILLINOIS,RICHLAND
CORN,"171,402,000",2022,ILLINOIS,SHELBY
CORN,"3,990,000",2022,ILLINOIS,ALEXANDER
CORN,"119,261,000",2022,ILLINOIS,CLINTON
CORN,"46,218,000",2022,ILLINOIS,JACKSON
CORN,"5,051,000",2022,ILLINOIS,JOHNSON
CORN,"44,024,000",2022,ILLINOIS,MONROE
CORN,"39,576,000",2022,ILLINOIS,PERRY
CORN,"20,498,000",2022,ILLINOIS,PULASKI
CORN,"55,922,000",2022,ILLINOIS,RANDOLPH
CORN,"98,239,000",2022,ILLINOIS,ST CLAIR
CORN,"12,976,000",2022,ILLINOIS,UNION
CORN,"126,957,000",2022,ILLINOIS,WASHINGTON
CORN,"17,873,000",2022,ILLINOIS,WILLIAMSON
CORN,"42,974,000",2022,ILLINOIS,EDWARDS
CORN,"30,058,000",2022,ILLINOIS,FRANKLIN
CORN,"79,264,000",2022,ILLINOIS,GALLATIN
CORN,"72,661,000",2022,ILLINOIS,HAMILTON
CORN,,2022,ILLINOIS,HARDIN
CORN,"39,824,000",2022,ILLINOIS,JEFFERSON
CORN,"31,562,000",2022,ILLINOIS,MASSAC
CORN,"4,321,000",2022,ILLINOIS,POPE
CORN,"42,847,000",2022,ILLINOIS,SALINE
CORN,"46,214,000",2022,ILLINOIS,WABASH
CORN,"100,602,000",2022,ILLINOIS,WAYNE
CORN,"92,397,000",2022,ILLINOIS,WHITE
CORN,708,2022,ILLINOIS,BUREAU
CORN,318,2022,ILLINOIS,CARROLL
CORN,749,2022,ILLINOIS,HENRY
CORN,384,2022,ILLINOIS,JO DAVIESS
CORN,518,2022,ILLINOIS,LEE
CORN,331,2022,ILLINOIS,MERCER
CORN,485,2022,ILLINOIS,OGLE
CORN,98,2022,ILLINOIS,PUTNAM
CORN,270,2022,ILLINOIS,ROCK ISLAND
CORN,477,2022,ILLINOIS,STEPHENSON
CORN,583,2022,ILLINOIS,WHITESIDE
CORN,255,2022,ILLINOIS,WINNEBAGO
CORN,187,2022,ILLINOIS,BOONE
CORN,15,2022,ILLINOIS,COOK
CORN,495,2022,ILLINOIS,DE KALB
CORN,1,2022,ILLINOIS,DU PAGE
CORN,277,2022,ILLINOIS,GRUNDY
CORN,228,2022,ILLINOIS,KANE
CORN,190,2022,ILLINOIS,KENDALL
CORN,43,2022,ILLINOIS,LAKE
CORN,"1,031",2022,ILLINOIS,LA SALLE
CORN,226,2022,ILLINOIS,MCHENRY
CORN,334,2022,ILLINOIS,WILL
CORN,662,2022,ILLINOIS,ADAMS
CORN,163,2022,ILLINOIS,BROWN
CORN,597,2022,ILLINOIS,FULTON
CORN,598,2022,ILLINOIS,HANCOCK
CORN,252,2022,ILLINOIS,HENDERSON
CORN,553,2022,ILLINOIS,KNOX
CORN,361,2022,ILLINOIS,MCDONOUGH
CORN,260,2022,ILLINOIS,SCHUYLER
CORN,433,2022,ILLINOIS,WARREN
CORN,258,2022,ILLINOIS,DE WITT
CORN,375,2022,ILLINOIS,LOGAN
CORN,901,2022,ILLINOIS,MCLEAN
CORN,311,2022,ILLINOIS,MACON
CORN,303,2022,ILLINOIS,MARSHALL
CORN,324,2022,ILLINOIS,MASON
CORN,178,2022,ILLINOIS,MENARD
CORN,532,2022,ILLINOIS,PEORIA
CORN,232,2022,ILLINOIS,STARK
CORN,529,2022,ILLINOIS,TAZEWELL
CORN,531,2022,ILLINOIS,WOODFORD
CORN,870,2022,ILLINOIS,CHAMPAIGN
